"rec_id"	"site_id"	"site_names"	"beta_reg1"	"pval_beta_reg1"	"adq_ppcc_ln2"	"adq_ppcc_res_flood_reg1"	"adq_dw_res_flood_reg1"	"adq_res_flood_reg1"	"cc1_LIN"	"cc1_QUA"	"cc1_LOGT"	"beta_reg2_max"	"pval_cc1_LIN"	"pval_cc1_QUA"	"pval_cc1_LOGT"	"pval_beta_reg2_max"	"cc1_GLM"	"pval_cc1_GLM"
"4449"	4449	6721000	"SOUTH PLATTE RIVER AT FORT LUPTON, CO."	0.0121089011300872	7.25954025920635e-05	1	1	1	1	-0.00303764214979351	-3.20241226352393e-05	-0.0700196265242339	-3.20241226352393e-05	0.0346837704693102	0.0376390122888799	0.081719744040266	0.0346837704693102	-0.0183247822254616	0.00319885131475755
"4470"	4470	6752500	"CACHE LA POUDRE RIVER NEAR GREELEY, CO."	0.0189007152471694	9.71129915465544e-05	0	1	1	1	-0.0069657514236612	-7.51791528937643e-05	-0.150532868788222	-7.51791528937643e-05	0.000184638442879257	0.00023497270447294	0.00788255577743885	0.000184638442879257	-0.0217771256942472	0.000224537866672761
"4471"	4471	6754000	"SOUTH PLATTE RIVER NEAR KERSEY, CO"	0.00853250699730167	0.00179357744389018	1	1	1	1	-0.00236318100176491	-2.41338020468685e-05	-0.0334736069977219	-2.41338020468685e-05	0.0493170616915465	0.0244315223400238	0.413619150031945	0.0493170616915465	-0.00921508178109033	0.0271617412824174
"4693"	4693	6886500	"FANCY C AT WINKLER, KS"	0.0371926506090774	0.038197712206492	0	1	1	1	-0.0180540822531747	-0.000399856526405307	-0.244986888779347	-0.000399856526405307	0.0116773421245452	0.0418637868752279	0.00304034717433882	0.00304034717433882	-0.0632763951369933	0.00304379292808406
"4734"	4734	6899000	"Weldon River at Mill Grove, MO"	0.0285219998126968	0.000360970024491321	1	1	1	1	-0.00859109837887683	-0.000188555904468656	-0.107923896431691	-0.000188555904468656	0.0158946674026392	0.0163634847076172	0.0355901635017708	0.0158946674026392	-0.0330618949835904	0.0474630719250839
"5078"	5078	7174600	"Sand Creek at Okesa, OK"	0.0297558846394337	0.00476131631645442	1	1	1	1	-0.0105711722418722	-0.00024615348521282	-0.13998976738626	-0.00024615348521282	0.0386697323857121	0.0856304460141634	0.0166490311395225	0.0166490311395225	-0.0488993500608522	0.0540374111188362
"5345"	5345	7344000	"Sulphur Rv nr Darden, TX"	0.0310372385455141	0.000339610351917335	1	1	1	1	-0.00938342974989262	-0.000200232112354489	-0.136209746012734	-0.000200232112354489	0.00431400850654118	0.0038125348307453	0.00552151937896926	0.00431400850654118	-0.0299595516926578	0.0300731078225554
"5366"	5366	7351930	"RED RIVER AT GRAND ECORE, LA."	0.0159225725557507	0.0399578693540648	1	1	1	1	-0.00850038059404169	-0.000223235281688904	-0.0916059413481407	-0.000223235281688904	0.0231517773512576	0.0191739369984121	0.052182590042147	0.0231517773512576	-0.0485633128384741	0.00717639976194439
"5583"	5583	8074000	"Buffalo Bayou at Houston, TX"	0.0136024530709126	1.30778106194408e-06	0	1	1	1	-0.00469004753606311	-4.81917345234478e-05	-0.136069115956694	-4.81917345234478e-05	0.000630690657224403	0.00413996386822303	5.90125076264478e-05	5.90125076264478e-05	-0.0232843417675988	0.000540763884251983
"5589"	5589	8074810	"Brays Bayou at Gessner Dr, Houston, TX"	0.0142121686305501	0.0350980825759245	0	1	1	1	-0.00766205853851905	-0.00014158152546703	-0.11484159365598	-0.00014158152546703	0.0204095559650772	0.0820667363768783	0.00714048061920381	0.00714048061920381	-0.0382547634498943	0.0201382576354202
"5590"	5590	8075000	"Brays Bayou at Houston, TX"	0.0282670209472828	6.74917521647331e-16	0	1	1	1	-0.0036786104514466	-4.25868308609886e-05	-0.0921760614296002	-4.25868308609886e-05	0.0108204705257146	0.0137868236267205	0.0117735476057429	0.0108204705257146	-0.0205667802789075	0.00178149234942147
"6003"	6003	8488500	"CANON DE TORREON AT TORREON, NM"	0.0251341234543212	0.0269300321755704	1	1	1	1	-0.00957963162317918	-0.000155107187138889	-0.157365767828009	-0.000155107187138889	0.0176870838990626	0.0131577374211718	0.047310704540892	0.0176870838990626	-0.0287916228366507	0.000990342698871653
"6750"	6750	11105850	"ARROYO SIMI NR SIMI CA"	0.0684303697434292	7.18980166940293e-05	0	1	1	1	-0.0117986877015626	-0.000219779574639337	-0.139267643617308	-0.000219779574639337	0.0278769298498103	0.0307976460224704	0.117678407995408	0.0278769298498103	-0.0350402895152704	0.0305633739228185
"6791"	6791	11139500	"TEPUSQUET C NR SISQUOC CA"	0.04938554132222	0.0484336096598977	1	1	1	1	-0.0168625427942185	-0.000407288407224323	-0.177482057622297	-0.000407288407224323	0.0349367634926743	0.0173630480019737	0.131047555529627	0.0349367634926743	-0.0277787308799286	0.0163969661998778
"6975"	6975	11336580	"MORRISON C NR SACRAMENTO CA"	0.0141797691447776	0.0061466682502189	0	1	1	1	-0.00649936706289247	-0.000107771945239407	-0.112329831982097	-0.000107771945239407	0.00435151876299179	0.00507878932522198	0.0079056449358907	0.00435151876299179	-0.0275789068584733	0.0046268136587564
"7312"	7312	12300000	"Kootenay River at Newgate British Columbia"	0.00914577721120477	0.0248985325430955	1	1	1	1	-0.00592057478877229	-0.000148017023799378	-0.0668322129037024	-0.000148017023799378	0.0182253280750915	0.0100574900695512	0.0544029318776386	0.0182253280750915	-0.0520098280041513	0.00595752701406058
